,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig
ticker,600000,600009,600016,600028,600030,600031,600036,600048,600050,600104,600196,600276,600309,600340,600438,600519,600547,600570,600585,600588,600690,600703,600745,600809,600837,600887,600918,601012,601066,601088,601111,601138,601166,601186,601211,601236,601288,601318,601319,601328,601336,601390,601398,601601,601628,601658,601668,601688,601766,601816,601818,601857,601888,601899,601939,601988,601989,601995,603160,603259,603288,603501,603986,603993
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-05,,,,,,,,,-1.0,,,,-1.0,,,,,,,,-1.0,-1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,1.0,-1.0,,,,,,,,,,,,,,,,
2010-03-12,1.0,,1.0,-1.0,,,,,,,,,,,,1.0,,,-1.0,,,,,,,,,,,,1.0,,-1.0,,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,
2010-03-19,,,,-1.0,,1.0,,,,,-1.0,1.0,,,,1.0,,,,,,,,,1.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,
2010-03-26,,,,,1.0,1.0,,,,,-1.0,,1.0,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,-1.0,,,-1.0,,,,,,1.0,,,,,,,,-1.0,,,,,,,
2010-04-02,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,-1.0,,,,1.0,-1.0,,-1.0,,-1.0,,,,,,,,,1.0,1.0,,,,,,,
2010-04-09,-1.0,-1.0,-1.0,,,,,,,1.0,-1.0,1.0,,,,-1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2010-04-16,,,-1.0,,,-1.0,,,,,,,-1.0,1.0,,,,,,,,,,,-1.0,,,,,,,,,-1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
2010-04-23,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,-1.0,,1.0,,,,,-1.0,,,,-1.0,,-1.0,,,,1.0,-1.0,,,,,,,,1.0,,,,,,,
2010-04-30,,-1.0,1.0,-1.0,,-1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,-1.0,,1.0,,,,,,,1.0,-1.0,,,,,,,
2010-05-07,,,,1.0,,,,-1.0,,,,1.0,,,,,,,,,-1.0,-1.0,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,-1.0,,,1.0,,,,,,,,
2010-05-14,,,,,,-1.0,,,,,,,-1.0,1.0,,,,,-1.0,,,,,,1.0,,,,,,,,,1.0,,,,-1.0,,,,,,,,,,1.0,,,,1.0,,,,,-1.0,,,,,,,
2010-05-21,,,1.0,1.0,,,,,,-1.0,1.0,-1.0,,,,,,,-1.0,,,,,,,1.0,,,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,,,,,1.0,,,,,,,,,
2010-05-28,1.0,,,,,,,,,-1.0,-1.0,1.0,1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,,,1.0,,,,,,,,,-1.0,,,,,,,,
2010-06-04,,1.0,-1.0,-1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,-1.0,,,-1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,-1.0,1.0,,,,,,,,
2010-06-11,,,,-1.0,,1.0,,,,,-1.0,,,-1.0,,1.0,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,-1.0,1.0,,,,,,,
2010-06-18,,,,,,,1.0,,,1.0,-1.0,,,,,,,,,,,,,,-1.0,,,,,,,,1.0,,,,,,,-1.0,,-1.0,,1.0,,,,,-1.0,,,,,,,1.0,,,,,,,,
2010-06-25,,,,,,,,,,-1.0,,-1.0,,,,,,,-1.0,,,,,,,,,,,1.0,,,-1.0,,,,,-1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,
2010-07-02,,,1.0,,-1.0,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,,,1.0,,,-1.0,1.0,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,1.0,,,,,,,,
2010-07-09,1.0,,1.0,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,-1.0,,,1.0,,,,,-1.0,,,,-1.0,,,,,,,,,,,,
2010-07-16,-1.0,,,,,,-1.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,-1.0,,-1.0,,,,,,,,-1.0,,,,,,,,,
2010-07-23,,,,,-1.0,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,-1.0,,-1.0,,,,1.0,,,,,,,-1.0,,,-1.0,,,,,1.0,,,,,,,,,,,,
2010-07-30,,-1.0,1.0,,,,,,,,,-1.0,,-1.0,,,,,-1.0,,,,,,,1.0,,,,,1.0,,,-1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
2010-08-06,-1.0,,-1.0,,,,-1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,-1.0,,,-1.0,1.0,,,,,,,,,,,,,,,,
2010-08-13,-1.0,1.0,,,1.0,,-1.0,,,-1.0,,-1.0,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
2010-08-20,,,,,,-1.0,,,,,-1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,1.0,,,,,,1.0,,,-1.0,,,,,,-1.0,,,,,,,
2010-08-27,,-1.0,,,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-1.0,,,,1.0,,,,,,1.0,1.0,-1.0,,-1.0,,,,,,,,,,,,,,,,,
2010-09-03,,,,,,1.0,,-1.0,,,,,,,,1.0,-1.0,,,,-1.0,-1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,-1.0,,,,,,,,,,,
2010-09-10,-1.0,,1.0,,,-1.0,-1.0,,,-1.0,,,,,,,,,-1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
2010-09-17,,-1.0,-1.0,-1.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,-1.0,1.0,,,,,,,,,,,,,,,,
2010-09-21,,,-1.0,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,1.0,,,-1.0,-1.0,,,,,1.0,,,,,,,
2010-09-30,,1.0,,,,-1.0,,,,,,1.0,-1.0,,,-1.0,,,-1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,-1.0,,1.0,,,,,,,,,,,,,
2010-10-08,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,-1.0,1.0,,-1.0,,,,,,,-1.0,,,-1.0,,,,,1.0,,,,,,,,,-1.0,,,,,,,
2010-10-15,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,-1.0,,-1.0,,-1.0,-1.0,,,,,-1.0,,,,,,,
2010-10-22,,-1.0,,,-1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,-1.0,,-1.0,,,,1.0,,,,,,,,,,,,,,,,
2010-10-29,,,,1.0,-1.0,,,,,,,,-1.0,1.0,,,,,-1.0,,,,,,-1.0,1.0,,,,-1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2010-11-05,,-1.0,,,-1.0,,,,,,-1.0,,,,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,-1.0,,,1.0,1.0,,,,,,,,,,,,
2010-11-12,-1.0,,,,1.0,,,,,,1.0,,,-1.0,,,,,1.0,,,,,,,,,,,,-1.0,,,,,,,1.0,,,,,-1.0,,,,,,,,1.0,,,,,-1.0,,,,,,,,
2010-11-19,,,,-1.0,,1.0,,,,-1.0,,,,,,-1.0,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,-1.0,,,,,,,,,
2010-11-26,,-1.0,,,,,,,,1.0,,1.0,-1.0,,,,,,-1.0,,,,,,,,,,,,1.0,,-1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,-1.0,,,,,,,
2010-12-03,,,-1.0,,1.0,-1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,-1.0,,,-1.0,-1.0,,,,,,,,
2010-12-10,,,,,,,,,,,,,-1.0,,,-1.0,,,,,,,,,-1.0,1.0,,,,-1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,-1.0,,,,,,,
2010-12-17,,-1.0,,,,,,,,,,,-1.0,,,,,,1.0,,,,,,,-1.0,,,,,,,,1.0,,,1.0,1.0,,,,-1.0,,,,,-1.0,,,,,,,,1.0,,,,,,,,,
2010-12-24,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,-1.0,,1.0,,,,,,,,,,,-1.0,-1.0,,,,-1.0,,,-1.0,,,,,,,,,,,,
2010-12-31,,,,-1.0,1.0,,-1.0,,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,-1.0,,,,,,1.0,1.0,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,
2011-01-07,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,,,,-1.0,,,,-1.0,1.0,,,,,-1.0,,,-1.0,,,,1.0,1.0,,,,,,,,
2011-01-14,,,,,1.0,1.0,,-1.0,-1.0,,,,1.0,,,,,,1.0,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,
2011-01-21,,,,,,,,,,,-1.0,1.0,,-1.0,,-1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,1.0,,,,,,,
2011-01-28,1.0,1.0,,-1.0,-1.0,,,,,-1.0,,,,,,1.0,,,,,,,,,-1.0,,,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2011-02-01,,1.0,-1.0,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,-1.0,,,,,,,,-1.0,,1.0,,,,,,,
2011-02-11,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,-1.0,,,,,1.0,,,,,,-1.0,,,,,,-1.0,,-1.0,,-1.0,,,,,,,,1.0,,,,,,,,,
2011-02-18,,,,,1.0,,,,,,,,1.0,-1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,-1.0,,-1.0,,,,1.0,,,,1.0,,,-1.0,,,,,-1.0,,,,,,,,
2011-02-25,,,,,-1.0,-1.0,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,-1.0,,,,,,,,-1.0,,,,,,,
2011-03-04,,,-1.0,,,-1.0,-1.0,,,,-1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,-1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,
2011-03-11,,,1.0,,-1.0,,,,,,,,,,,,-1.0,,1.0,,-1.0,-1.0,,,,,,,,,,,,,,,,1.0,,,,,-1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
2011-03-18,,,,,,,,,,-1.0,,,,,,,,,,,,,,,-1.0,,,,,-1.0,1.0,,1.0,,,,,,,-1.0,,,,,,,1.0,,,,1.0,-1.0,,,,1.0,,,,,,,,
2011-03-25,,,1.0,,,,,,,,1.0,-1.0,-1.0,,,,,,-1.0,,,,,,,,,,,,,,-1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,-1.0,,,,,,,,,,,,
2011-04-01,,-1.0,,,1.0,,-1.0,,,-1.0,,,,,,-1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,-1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2011-04-08,,,,1.0,-1.0,,,,-1.0,,1.0,-1.0,,,,,,,,,,,,,-1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,-1.0,,,,,1.0,,,,,,,,
2011-04-15,,,,,-1.0,,,,1.0,,,,,,,-1.0,1.0,,,,1.0,1.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,1.0,,,-1.0,,,,,,,,
2011-04-22,,,-1.0,-1.0,,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,1.0,-1.0,,1.0,,,,,,,,,,,,-1.0,,,1.0,1.0,,,,,,,,,,,,,,,
2011-04-29,-1.0,,,,-1.0,1.0,,,,,,,,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,-1.0,,,,1.0,,,,1.0,,,-1.0,,,,,,,,,,,,,
2011-05-06,,,,,,1.0,,,,,,-1.0,,-1.0,,,,,,,-1.0,,,,,,,,,,1.0,,1.0,,,,-1.0,,,,,,,1.0,,,,,1.0,,,,,,,-1.0,,,,,,,,
2011-05-13,-1.0,,,,1.0,,,,,,1.0,-1.0,-1.0,1.0,,,,,-1.0,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2011-05-20,,,-1.0,,1.0,,,,,1.0,-1.0,1.0,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,-1.0,,,,,,,,,,-1.0,,,,,,,
2011-05-27,-1.0,1.0,-1.0,,,,1.0,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,1.0,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,
2011-06-03,,,,,-1.0,,1.0,,,,,,,,,1.0,,,-1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,-1.0,,,,1.0,,1.0,,,,-1.0,,,,,,,,,
2011-06-10,-1.0,,-1.0,,1.0,,-1.0,,,-1.0,,,-1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
2011-06-17,,,1.0,-1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,-1.0,,,,-1.0,,1.0,-1.0,,,,,,,,,,,,
2011-06-24,1.0,,,1.0,-1.0,,,,,,,,-1.0,,,1.0,1.0,,-1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,-1.0,,,,-1.0,,,,,,,,,,,,,,,,
2011-07-01,,1.0,,,-1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,-1.0,,1.0,,,,,,,,,,,-1.0,-1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,
2011-07-08,1.0,,,-1.0,1.0,,1.0,,,-1.0,,,,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,-1.0,1.0,,,,,,,
2011-07-15,,-1.0,,1.0,1.0,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,-1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
2011-07-22,-1.0,,,,,,,,-1.0,-1.0,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,-1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,
2011-07-29,,,,,,,,,,,,,-1.0,-1.0,,-1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,-1.0,-1.0,,,,,,,
2011-08-05,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.0,,,-1.0,,,,,,1.0,,,,1.0,1.0,,,,-1.0,,-1.0,-1.0,,,,,,,,,,,,
2011-08-12,,,,,-1.0,-1.0,,,,-1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,-1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,-1.0,,,,,,,,,
2011-08-19,,,,-1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,-1.0,,,,,-1.0,,,,,,1.0,1.0,,,,,-1.0,,,,,1.0,,,,,,,,-1.0,,,,,,,,
2011-08-26,-1.0,1.0,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,1.0,,,,,,-1.0,,,1.0,,,,-1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
2011-09-02,,-1.0,,,-1.0,1.0,,,,,,1.0,,,,-1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,-1.0,1.0,,,,,,,,,,,,-1.0,,,,,,,
2011-09-09,,1.0,1.0,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,1.0,,-1.0,,,,,,,,-1.0,1.0,,,,,,,-1.0,,,,,,,,
2011-09-16,,,,,,,,-1.0,,,,,1.0,,,,-1.0,,1.0,,-1.0,-1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,-1.0,,,,,,,,,,,
2011-09-23,,,,,,-1.0,,,,1.0,-1.0,,,,,,,,-1.0,,,,,,,-1.0,,,,1.0,,,,,,,-1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2011-09-30,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,-1.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,-1.0,,,-1.0,,,,,,-1.0,,,,,,,
2011-10-14,-1.0,,,,,,,,,,,1.0,,,,,,,-1.0,,,,,,,,,,,,-1.0,,-1.0,1.0,,,1.0,-1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
2011-10-21,1.0,,,,,,,,,,-1.0,,,-1.0,,,,,1.0,,,,,,,,,,,1.0,,,,-1.0,,,1.0,1.0,,,,-1.0,,,,,-1.0,,,,,,,,,,,,,,,,,
2011-10-28,,,,,-1.0,1.0,,,1.0,,,-1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,-1.0,1.0,,,,-1.0,,,,,,,
2011-11-04,,,1.0,,,,,,,,-1.0,,,1.0,,-1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,-1.0,,,,-1.0,,,,-1.0,,,,,,,,
2011-11-11,,1.0,,,,,,-1.0,,-1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,-1.0,,,,,,,,-1.0,,,,,,,,,,,,
2011-11-18,,1.0,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,,,,1.0,,,1.0,-1.0,,,1.0,-1.0,,,,,,,,,,,,,,,,
2011-11-25,,-1.0,,-1.0,,,,,,,-1.0,,,1.0,,,,,1.0,,,,,,-1.0,,,,,,,,1.0,,,,,,,,,,,-1.0,,,,,,,,,,,1.0,1.0,,,,,,,,
2011-12-02,,1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,-1.0,,,,,,,,,,,,,1.0,1.0,,,-1.0,1.0,,,,,,,1.0,-1.0,,,,,,,
2011-12-09,-1.0,,,,-1.0,1.0,,,,,-1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,,,,1.0,,,1.0,1.0,,,,,,,,
2011-12-16,,-1.0,,-1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,,,,,1.0,-1.0,,1.0,,,,,,,,1.0,,,-1.0,,,,,,,,,
2011-12-23,,,,1.0,,,,,,-1.0,,,,,,-1.0,,,,,,,,,,1.0,,,,1.0,,,,-1.0,,,,1.0,,,,,,,-1.0,,,-1.0,1.0,,,,,,,,,,,,,,,
2011-12-30,,,,,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,-1.0,,,-1.0,,,,,,,,,,1.0,,,,,1.0,-1.0,,,,,,,
2012-01-06,,1.0,,-1.0,,,-1.0,,,1.0,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,-1.0,,,,-1.0,,,,,,,
2012-01-13,,,,,-1.0,,,-1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,-1.0,,,,,,,,1.0,,,,-1.0,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2012-01-20,,,,-1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,-1.0,-1.0,1.0,,,,,-1.0,,,,,,,-1.0,,,,,,,,
2012-02-03,,,,,-1.0,,1.0,,,,,,-1.0,1.0,,,,,-1.0,,,,,,-1.0,,,,,,,,1.0,,,,,,,1.0,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,
2012-02-10,,,,,-1.0,,,,,,,,-1.0,,,,,,1.0,,,-1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,-1.0,,,,,,,,-1.0,,,,1.0,1.0,-1.0,-1.0,,,1.0,1.0,,,,-1.0,,,,,,,,,,,
2012-02-24,-1.0,1.0,,-1.0,,,1.0,,,,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,-1.0,,,,-1.0,,,,,,,,,,,,,
2012-03-02,,,,,,,,-1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,-1.0,,,,1.0,-1.0,,,,,-1.0,,,,,-1.0,,,,,,,,,,,,
2012-03-09,,,,,-1.0,,,-1.0,,,,,,,,,,,-1.0,,,,,,-1.0,,,,,,1.0,,,,,,1.0,,,,,,,,-1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,
2012-03-16,,,1.0,-1.0,,,,,1.0,1.0,,-1.0,,,,,1.0,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,-1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,
2012-03-23,,-1.0,,,-1.0,,,,,,-1.0,,,,,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,-1.0,,,,,,,,
2012-03-30,-1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,,,-1.0,,,,-1.0,1.0,,,,,,,,-1.0,,,,,,,
2012-04-06,,1.0,,,,,,,,,1.0,-1.0,,,,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,-1.0,,,1.0,,,,,,,,1.0,,,,,,,,
2012-04-13,,-1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,1.0,,,-1.0,-1.0,,,,,,,,,,,,
2012-04-20,,,,,,,,,,,,1.0,,-1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,-1.0,1.0,,-1.0,,,,,,,,-1.0,,,,-1.0,,,,,,,,,
2012-04-27,,,,,,,,-1.0,,,,1.0,-1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,-1.0,,,,,,,1.0,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,
