,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig
2012-05-04,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,-1.0,1.0,,,-1.0,,,,1.0,,,-1.0,1.0,,,,,,,,,,,,
2012-05-11,,,,,-1.0,-1.0,,,,,,1.0,,-1.0,,,,,-1.0,,1.0,,,,-1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
2012-05-18,,,-1.0,-1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,1.0,,,,,,-1.0,1.0,-1.0,,,,,,1.0,,1.0,,,,,,,
2012-05-25,,,,,,,,,,,,,-1.0,,,,,,-1.0,,,,,,1.0,,,,,-1.0,,,-1.0,,,,,-1.0,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,1.0,,-1.0,,,-1.0,,,-1.0,,,,,,,,,,,1.0,,,-1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,-1.0,,,,,,,,
2012-06-08,,-1.0,,,1.0,1.0,,-1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,-1.0,,,-1.0,,,,,1.0,,,1.0,,,,,-1.0,,,,,,,,
2012-06-15,,,,,1.0,,,,,,,,,,,-1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,-1.0,,,-1.0,1.0,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,,
2012-06-21,,,,-1.0,1.0,,,,,1.0,,-1.0,-1.0,,,,,,1.0,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,
2012-06-29,1.0,,,,,,,,,,,,,-1.0,,-1.0,,,1.0,,,,,,,,,,,,,,,,,,,-1.0,,,,,,-1.0,-1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,
2012-07-06,,,,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,-1.0,-1.0,,-1.0,-1.0,,,,1.0,,,,,,1.0,,,,,,,,,
2012-07-13,,,,-1.0,-1.0,,,,,,-1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,-1.0,,,,,,,,,,-1.0,,,,,,,,,,,,
2012-07-20,,,,,,,,1.0,,1.0,,1.0,-1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,-1.0,,,-1.0,,,-1.0,-1.0,,,,,,,1.0,,,,,,,,,,,,
2012-07-27,,-1.0,,,,,,,,,,,,-1.0,,-1.0,,,-1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,-1.0,1.0,,,,,,,
2012-08-03,,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,-1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,-1.0,-1.0,1.0,,,,,,,,-1.0,,,,,,,
2012-08-10,,1.0,,-1.0,,,,,,1.0,-1.0,1.0,,,,1.0,,,,,,,,,,,,,,,-1.0,,-1.0,-1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-17,,,,,,1.0,,,-1.0,,1.0,,1.0,,,,-1.0,,1.0,,-1.0,-1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2012-08-24,,,,-1.0,,-1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,,,-1.0,1.0,,,,-1.0,,,,1.0,1.0,,,,,,,
2012-08-31,,,,-1.0,,,,,,1.0,,-1.0,1.0,,,1.0,,,,,,,,,,-1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,-1.0,,,,,,,
2012-09-07,,,,,,,,,,1.0,-1.0,,-1.0,,,,,,,,,,,,,,,1.0,,,-1.0,,,,,,1.0,1.0,,,-1.0,,1.0,,,,,,,,,,,,,,-1.0,,,,,,,
2012-09-14,,,,,-1.0,-1.0,,,,,1.0,,-1.0,,,-1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
2012-09-21,,,,,,,1.0,-1.0,,,,,1.0,,,,,,1.0,,,,,,-1.0,,,-1.0,,,,,,,,,1.0,-1.0,,,-1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
2012-09-28,,,-1.0,,1.0,,,,,1.0,-1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-1.0,,-1.0,,,,,,,,,,,-1.0,,,,,,,,
2012-10-12,,,-1.0,,,,,-1.0,,,-1.0,,,1.0,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,
2012-10-19,,,,,-1.0,,,,,-1.0,,,,,,,,,-1.0,,,,,,-1.0,1.0,,,,,,,-1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,
2012-10-26,,,1.0,,,-1.0,,,,,,,,,,-1.0,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,-1.0,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,
2012-11-02,,1.0,,,,,,,-1.0,,,,1.0,,,,,,1.0,,-1.0,-1.0,,,,,,,,,,,,,,,,1.0,,-1.0,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,
2012-11-09,,,,,,,,1.0,,,1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,-1.0,,,-1.0,,,,,,,1.0,,,,,,,1.0,,,,-1.0,-1.0,,,,,,,,1.0
2012-11-16,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,-1.0,-1.0,,-1.0,,,,,,,,,,,,,,,,,-1.0,,1.0,,,,,,,,,,1.0,,,,,,,-1.0
2012-11-23,,,-1.0,-1.0,,-1.0,,,,1.0,-1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,
2012-11-30,-1.0,,,,,,,,,,-1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,1.0,1.0,,1.0,,-1.0,,,,,,,,,,,,,,,-1.0
2012-12-07,,,,,,,,,,,,,1.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.0,,,-1.0,,,,1.0,,-1.0,1.0,,,,,1.0,,,,,,,,,,,-1.0
2012-12-14,,,,,,,,1.0,,,,1.0,,-1.0,,,,,,,-1.0,-1.0,,,-1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,-1.0,,,,1.0,,,,,,,
2012-12-21,,,,,,-1.0,,,,,-1.0,,,-1.0,,,,,,,,,,,1.0,,,,,,-1.0,,,,,,1.0,,,1.0,,,,,1.0,,-1.0,,,,,1.0,,,,,,,,,,,,
2012-12-28,,,,,-1.0,,,,,-1.0,1.0,,,,,-1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,-1.0,1.0,,1.0,-1.0,,,,,,,,,,,,
2013-01-04,,1.0,,,1.0,-1.0,,1.0,,,-1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,-1.0,,,,,,,,-1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,
2013-01-11,-1.0,1.0,-1.0,,,,-1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,-1.0,,,,,,,1.0,,,-1.0,,,,,,,,,,,,,
2013-01-18,,,,,,,-1.0,,1.0,1.0,-1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,1.0,,,,,,,,,,,-1.0
2013-01-25,-1.0,-1.0,,,,-1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,-1.0,,,,,,,,,,,,1.0,,,,,,-1.0,,,,,,,,,,,,,
2013-02-01,,,,,,,,,,-1.0,1.0,,,-1.0,,-1.0,,,1.0,,,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,-1.0,1.0,,,,,,,
2013-02-08,,,,,-1.0,-1.0,,,,1.0,-1.0,,,,,,,,,,,,,,-1.0,-1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
2013-02-22,,,1.0,,1.0,-1.0,,,,-1.0,,,,,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,-1.0,-1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
2013-03-01,,,,,,,,-1.0,,,1.0,,,,,-1.0,,,,,,,,,,1.0,,,,-1.0,1.0,,,-1.0,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,1.0,,,,,,,
2013-03-08,,,,-1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,-1.0,,,,1.0,,,,-1.0,,-1.0,,,,,-1.0,1.0,,,,,,,,,,,1.0
2013-03-15,,,,,,,,1.0,,,,-1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,-1.0,1.0,,,,,-1.0,1.0,,,-1.0,,,,1.0,,,,,-1.0,,,,,,,,
2013-03-22,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,-1.0,,,,,,,,,,,,-1.0,,,,-1.0,,,1.0,,,,,-1.0,,,,,,,-1.0
2013-03-29,,-1.0,-1.0,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,-1.0,,,,,,,,1.0,,,,,,-1.0,,,,,-1.0,,,,,,,,,,,,
2013-04-03,,,,,-1.0,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,-1.0,1.0,,,,1.0,1.0,,,,,,,
2013-04-12,,1.0,,1.0,,1.0,,,,,,,,,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,-1.0,,1.0,1.0,,,-1.0,,,,,,,,-1.0,,,,,,,,
2013-04-19,,,-1.0,,,,,,,-1.0,,,,1.0,,-1.0,,,-1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,-1.0,1.0,,,,1.0,,,,,,,,,,,,
2013-04-26,-1.0,,-1.0,,,,-1.0,,,-1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,-1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-03,,,,,,1.0,,1.0,,,,,-1.0,,,,,,,,,,,,-1.0,1.0,,-1.0,,,1.0,,,,,,,,,,-1.0,,,,,,,-1.0,,,,1.0,,,,,,,,,,,,
2013-05-10,,1.0,-1.0,-1.0,,,,,,,-1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,-1.0,,,,,,,,,,1.0,,,,,,,,,-1.0,,,,,,,,
2013-05-17,,-1.0,,,,,1.0,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,-1.0,,1.0,,,,1.0,,,,,,-1.0,,,,,,,
2013-05-24,,,,,,1.0,-1.0,,,1.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,1.0,,,,-1.0,,,,,,,-1.0,,,,,,,,1.0,,,,,,,
2013-05-31,-1.0,,,,,,,-1.0,,,,1.0,,1.0,,,,,-1.0,,,,,,,1.0,,,,,,,-1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,-1.0,,,,,,,
2013-06-07,,,,,,,,,,-1.0,,,,,,-1.0,,,,,,,,,-1.0,1.0,,,,-1.0,1.0,,-1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
2013-06-14,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,-1.0,-1.0,,,,,-1.0,,1.0,1.0,,,,,,,-1.0,,,,,,,1.0,,,,-1.0,,,,,,,,,,,,
2013-06-21,-1.0,1.0,,,,-1.0,,-1.0,,1.0,,-1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,,1.0,,,,,,,,,,,,,,,,,,,,
2013-06-28,,,,,,,,,1.0,-1.0,,,,-1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
2013-07-05,,,,,,,,,-1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,-1.0,1.0,-1.0,,,,,,1.0,,,,,-1.0,,,-1.0,,,,,,,,
2013-07-12,,,,,,,,,-1.0,1.0,-1.0,,,-1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,-1.0
2013-07-19,,-1.0,,,,,,,1.0,,,-1.0,,,,,,,-1.0,,,1.0,,,,,,,,,,,,-1.0,,,,,,1.0,,,1.0,,,,,-1.0,,,,,1.0,,,,,,,,,,,
2013-07-26,,-1.0,,-1.0,,,,,,1.0,,-1.0,,,,,1.0,,-1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,-1.0,,,,,,,,,
2013-08-02,,,,,,,,,,,,,,,,1.0,,,,,,,,,-1.0,,,-1.0,,,1.0,,,,,,,,,,-1.0,,1.0,-1.0,-1.0,,,,,,,,,,1.0,1.0,,,,,,,,
2013-08-09,,-1.0,,,,,,1.0,,-1.0,,-1.0,,,,,,,,,,,,,-1.0,1.0,,,,,,,,1.0,,,1.0,-1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2013-08-16,,,,,,,-1.0,,,,,,,-1.0,,1.0,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,1.0,,-1.0,1.0,1.0,,,,,,,,,,,-1.0,,,,,,,,
2013-08-23,,1.0,1.0,,,,,,,,,,,,,,-1.0,,1.0,,,,,,,,,1.0,,-1.0,,,,,,,-1.0,,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,,,,1.0
2013-08-30,,,,,,,,1.0,1.0,-1.0,,,,,,,,,-1.0,,1.0,1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,,,-1.0
2013-09-06,-1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,-1.0,,1.0,,-1.0,,,,,,,,,,,,-1.0,,,,,,,-1.0,,,,,,,,,,,,,,,1.0
2013-09-13,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,-1.0,,-1.0,,1.0,1.0,,1.0,,,,,,,,,-1.0,,,,,,,,-1.0
2013-09-18,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,1.0,-1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,-1.0,,,,,,,
2013-09-27,1.0,,,,,,,,,-1.0,1.0,-1.0,1.0,,,,,,1.0,,,,,,,-1.0,,,,1.0,,,,-1.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,-1.0,,,,,-1.0,,,1.0,,-1.0,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,-1.0,1.0,,,,,,,,,,,
2013-10-11,,,,,1.0,,-1.0,,,,,1.0,,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,-1.0,1.0,,,,,,,1.0,,,,,,,,-1.0,-1.0,,,,,,,
2013-10-18,,,,1.0,,,,1.0,,,,,-1.0,-1.0,,,,,,,,,,,,,,-1.0,,,1.0,,,-1.0,,,1.0,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,,,,,
2013-10-25,,,,,,,,,,-1.0,,,,-1.0,,,,,-1.0,,,,,,,,,,,,,,,1.0,,,,-1.0,,,1.0,,,1.0,,,,-1.0,1.0,,,,,,,,1.0,,,,,,,
2013-11-01,1.0,,,,,,,,1.0,,1.0,-1.0,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,-1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,
2013-11-08,,,,,,,,,,,,1.0,,,,1.0,-1.0,,1.0,,,,,,,,,-1.0,,,,,,,,,,-1.0,,,-1.0,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,1.0
2013-11-15,1.0,-1.0,,,,-1.0,,-1.0,,-1.0,,,,,,,1.0,,,,,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
2013-11-22,,,,,1.0,,,,,,,,,,,,-1.0,,1.0,,,,,,,,,,,,-1.0,,-1.0,-1.0,,,,,,,1.0,,,1.0,1.0,,,,,,-1.0,,,,,,,,,,,,,
2013-11-29,,,,,,,,,,,,1.0,,-1.0,,,,,,,-1.0,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,1.0,1.0,,,,-1.0,,,,-1.0,,,,1.0,,,,,,,
2013-12-06,,,,,,,,,,,,1.0,,,,-1.0,-1.0,,1.0,,,,,,-1.0,1.0,,,,,,,,1.0,,,,-1.0,,,,,,-1.0,,,,,,,,1.0,,,,,,,,,,,,
2013-12-13,,,,,,,,,,,-1.0,,,,,-1.0,,,1.0,,,,,,,1.0,,-1.0,,,1.0,,,,,,-1.0,,,,1.0,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,
2013-12-20,,,,,1.0,,,,,-1.0,,1.0,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,-1.0,,,-1.0,1.0,,,-1.0,1.0,,,1.0,,,,,,,,,
2013-12-27,,1.0,,-1.0,,,,-1.0,,,,1.0,,1.0,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,,1.0,,,,-1.0,,,1.0,,,,,,,,,,,,,,,,,,,
2014-01-03,,,,,1.0,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,-1.0,,,,,,,-1.0,,,,,,1.0,,,,,1.0,,,,,,,,-1.0
2014-01-10,,,1.0,,1.0,,,,,,,-1.0,-1.0,,,-1.0,,,,,,,,,,,,,,-1.0,1.0,,,-1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
2014-01-17,-1.0,,,1.0,-1.0,,-1.0,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,1.0,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
2014-01-24,,,-1.0,-1.0,-1.0,,,,,,1.0,-1.0,,,,,1.0,,,,,,,,,,,,,-1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2014-01-30,,,1.0,,,,,,,,,,,-1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,-1.0,,,,-1.0,,,,,,1.0,-1.0,,,1.0,-1.0,,,,,,,,,,,,
2014-02-07,,,,,,,1.0,,,,,-1.0,1.0,-1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,-1.0,1.0,1.0,,-1.0,,-1.0,,,,,,,,,,,,,,,,,
2014-02-14,,,-1.0,1.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,1.0,,,-1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
2014-02-21,,,,-1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,-1.0,-1.0,,-1.0,-1.0,,,,,,,,,,,,
2014-02-28,1.0,,,,,,1.0,,-1.0,,1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,-1.0,,,,1.0,,,,,1.0,,,,,-1.0,,,-1.0,,,,,,,,,,,,,
2014-03-07,,,-1.0,,,,,,,,,1.0,1.0,,,-1.0,-1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,,
2014-03-14,1.0,1.0,,,,,1.0,-1.0,,,,,,1.0,,,,,,,,,,,-1.0,,,,,,-1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,-1.0
2014-03-21,,,,,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,-1.0,,,,1.0,,-1.0,,-1.0,,,,,,,,,,,,,-1.0
2014-03-28,,-1.0,,,,-1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,-1.0,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
2014-04-04,,1.0,,,,,,1.0,-1.0,,,,,,,1.0,,,-1.0,,,-1.0,,,,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,,,
2014-04-11,1.0,,,,1.0,,,,,,,,-1.0,1.0,,,,,,,,,,,-1.0,,,,,,,,1.0,,,,,,,,,,,-1.0,,,-1.0,,1.0,,-1.0,,,,,,,,,,,,,
2014-04-18,-1.0,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,,,1.0,,-1.0,,-1.0,1.0,,-1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
2014-04-25,,,-1.0,1.0,1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,-1.0,,,-1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
2014-04-30,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,-1.0,1.0,1.0,,,,,,-1.0,-1.0,,,,,,,,-1.0
2014-05-09,,,,,,,,,,,,1.0,,,,,-1.0,,,,-1.0,,,,,,,-1.0,,,,,,1.0,,,,,,1.0,-1.0,,,,,,,,,,,1.0,-1.0,,,,,,,,,,,1.0
2014-05-16,-1.0,,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,-1.0,-1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0
2014-05-23,-1.0,,,-1.0,-1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,,-1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
2014-05-30,,,,,-1.0,,-1.0,,,,1.0,-1.0,,,,-1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,-1.0,,,,,,,1.0,,,,,,,,
2014-06-06,,,,,,,,,,,1.0,,-1.0,,,,-1.0,,,,,,,,-1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,-1.0,,,,,,,,1.0,,,,,,,,-1.0
2014-06-13,,,-1.0,1.0,,,,,,,,1.0,,1.0,,-1.0,,,,,,,,,,,,,,,-1.0,,-1.0,,,,1.0,,,,-1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
2014-06-20,,,1.0,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,-1.0,1.0,,,1.0,,,,-1.0,-1.0,,,-1.0,,,,,,,,,,1.0,,,,,,,,,
2014-06-27,,,-1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,-1.0,,,,-1.0,,,1.0,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
2014-07-04,,,,,,1.0,,,,,1.0,-1.0,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,,-1.0,,,,1.0,1.0,,,,,1.0,,,,,,,-1.0,,,,,,,,,
2014-07-11,,,,,,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,-1.0,,,,-1.0,-1.0,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,-1.0,,,,,,,,
2014-07-18,-1.0,,,,,1.0,-1.0,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
2014-07-25,-1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,-1.0,,,,1.0,,,,,,,-1.0,1.0,,,,,,,-1.0,,1.0,,,,,-1.0,,,,,,,,,,,,
2014-08-01,,,1.0,,1.0,,,-1.0,,,1.0,,,-1.0,,,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,-1.0,1.0,,-1.0,,,,,,,,,,,,,,,,,,,
2014-08-08,,,,,,,,,,-1.0,1.0,,-1.0,,,1.0,,,,,,,,,,,,,,-1.0,1.0,,-1.0,,,,,,,,,1.0,,,,,,,,,-1.0,1.0,,,,,,,,,,,,
2014-08-15,,1.0,,,-1.0,,,,,,-1.0,1.0,,,,,-1.0,,,,,,,,1.0,,,,,,-1.0,,,,,,,,,,,,,,1.0,,-1.0,,,,1.0,,,,,,,,,,,,,
2014-08-22,,,-1.0,,,,,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,1.0,1.0,1.0,1.0,,,-1.0,,,,,,,,1.0,,,,,,,,
